% Model,tin_tegs_model_2_HF.mph
% Version,COMSOL 6.1.0.357
% Date,"Jun 1 2024, 11:32"
% Table,Table 2 - Surface Average 1
% Time (s),Temperature (K),Temperature (K),"Temperature (K), Point: 51"
447,1044.0314265927966,1020.0275193092598,1050.6518541911198
448,1043.9723267174272,1019.95283132127,1050.589797023406
449,1043.9132268420576,1019.8781433332792,1050.5277398556923
450,1043.8541269666875,1019.8034553452895,1050.4656826879784
451,1043.7950270913173,1019.7287673572988,1050.4036255202648
452,1043.7359272159476,1019.6540793693092,1050.3415683525511
453,1043.6768273405783,1019.5793913813197,1050.2795111848375
454,1043.6177274652082,1019.5047033933301,1050.2174540171238
455,1043.5586275898386,1019.4300154053396,1050.15539684941
456,1043.4995277144694,1019.35532741735,1050.0933396816963
457,1043.4404278390987,1019.2806394293586,1050.0312825139827
458,1043.3813279637295,1019.2059514413696,1049.9692253462688
459,1043.3222280883597,1019.1312634533801,1049.9071681785551
460,1043.2631282129896,1019.0565754653901,1049.8451110108415
461,1043.20402833762,1018.9818874774003,1049.7830538431276
462,1043.1449284622502,1018.9071994894102,1049.720996675414
463,1043.0858285868803,1018.8325115014196,1049.6589395077003
464,1043.0267287115112,1018.7578235134303,1049.5968823399867
