% Model,LargeGraphiteBlock_v5_PorousMedia_rad_PBC_grid_parallel_vary_flowrate_charge.mph
% Version,COMSOL 6.0.0.405
% Date,"Mar 2 2023, 10:41"
% Table,Accumulated Probe Table 2 - 
% charge_hrs (h),base_flowrate_factor,max_flowrate_factor,Time (s),"Temperature (K), inlet_T","Temperature (K), outlet_T","Temperature (K), block1_T","Temperature (K), inlet_T_2","Temperature (K), outlet_T_2","Temperature (K), inlet_T 1","Temperature (K), outlet_T 1","Temperature (K), block2_T","Temperature (K), block3_T","Temperature (K), block4_T","massflowrate (kg/s), mass_flowrate","P_out (W), P_out"
4,10,10,8229.6,2673.0000000000014,2654.1483625950473,2645.7639394522485,2672.999999999996,2654.1441753756453,2673.0000000000023,2654.1400927621376,2643.0212872548836,2639.3508393435623,2610.580311499566,155.83333333333366,-717116.5395398495
4,10,10,8236.800000000001,2673.0000000000014,2654.188704159508,2645.832039433969,2672.999999999996,2654.18459714061,2673.0000000000023,2654.1806606328714,2643.094507963008,2639.4304199024978,2610.702718257617,155.83333333333354,-715574.0138683459
4,10,10,8244,2673.0000000000014,2654.2286011765304,2645.899967829421,2672.999999999996,2654.2245292471403,2673.0000000000023,2654.220710254112,2643.1675488719857,2639.5098117059356,2610.8248936539208,155.83333333333363,-714051.1937701298
4,10,10,8251.2,2673.0000000000014,2654.2682803116822,2645.967725992618,2672.999999999996,2654.264210715042,2673.0000000000023,2654.2603705729894,2643.2404123616607,2639.5890145697017,2610.9468386473604,155.83333333333354,-712543.1762453653
4,10,10,8258.4,2673.0000000000014,2654.3079407065875,2646.0353125232036,2672.999999999996,2654.30391154301,2673.0000000000023,2654.3000058218613,2643.3130970693037,2639.6680287276645,2611.068555430705,155.83333333333363,-711036.1119660168
4,10,10,8265.6,2673.0000000000014,2654.34785418083,2646.1027278060938,2672.999999999996,2654.343815492346,2673.0000000000023,2654.3398278389577,2643.3856020735057,2639.7468598222144,2611.1900439694505,155.8333333333336,-709521.9461358342
4,10,10,8272.800000000001,2673.0000000000014,2654.387877573441,2646.16997408755,2672.999999999996,2654.383840092294,2673.0000000000023,2654.3798748760214,2643.457929644807,2639.8255061142186,2611.311305341297,155.83333333333366,-707999.2242963595
4,10,10,8280,2673.0000000000014,2654.427914023077,2646.2370496892004,2672.999999999996,2654.4238483364747,2673.0000000000023,2654.4199447201354,2643.530079579767,2639.90396524823,2611.4323410855554,155.83333333333363,-706475.6352571184
4,10,10,8287.2,2673.0000000000014,2654.4676910769613,2646.3039557595457,2672.999999999996,2654.463632268077,2673.0000000000023,2654.459789120304,2643.6020528004487,2639.982236599895,2611.553149303353,155.83333333333366,-704960.6183481503
4,10,10,8294.4,2673.0000000000014,2654.507259819766,2646.3706948662743,2672.999999999996,2654.5032116856496,2673.0000000000023,2654.499350795489,2643.673849888765,2640.060320791204,2611.6737300324735,155.83333333333354,-703456.3515852505
4,10,10,8301.6,2673.0000000000014,2654.5465665424717,2646.437264643828,2672.999999999996,2654.5425445711844,2673.0000000000023,2654.538646808217,2643.745470482863,2640.1382242150007,2611.794082511956,155.8333333333336,-701962.1861947336
4,10,10,8308.800000000001,2673.0000000000014,2654.5856863576664,2646.5036653147213,2672.999999999996,2654.5816869523146,2673.0000000000023,2654.577801603227,2643.8169150597405,2640.215944993484,2611.9142072738186,155.83333333333363,-700473.3903722514
4,10,10,8316,2673.0000000000014,2654.6248300393445,2646.5698997048808,2672.999999999996,2654.6208355208364,2673.0000000000023,2654.6169829266337,2643.8881842266424,2640.2934812697617,2612.0341078153074,155.83333333333357,-698983.5858519804
4,10,10,8323.2,2673.0000000000014,2654.6641146310467,2646.635966410235,2672.999999999996,2654.660131790305,2673.0000000000023,2654.6562773473943,2643.9592790665374,2640.370832156322,2612.1537855247825,155.8333333333336,-697489.4809932944
4,10,10,8330.4,2673.0000000000014,2654.703635870466,2646.7018656395394,2672.999999999996,2654.6996365869295,2673.0000000000023,2654.6957846912387,2644.030198958437,2640.4479983348137,2612.2732401295057,155.83333333333363,-695987.2800892347
4,10,10,8337.6,2673.0000000000014,2654.742979993385,2646.7676002732787,2672.999999999996,2654.738963732557,2673.0000000000023,2654.7351324135293,2644.1009447729866,2640.524984472911,2612.392468316312,155.83333333333357,-694491.1485284646
4,10,10,8344.800000000001,2673.0000000000014,2654.78178063566,2646.833169023363,2672.999999999996,2654.7778450500514,2673.0000000000023,2654.774104291912,2644.1715180983447,2640.6017899754515,2612.5114700070203,155.83333333333366,-693009.3078063391
4,10,10,8352,2673.0000000000014,2654.82021914811,2646.898570323227,2672.999999999996,2654.8163674597413,2673.0000000000023,2654.812679131702,2644.241917660406,2640.6784141864696,2612.6302474175636,155.83333333333363,-691542.5638145569
4,10,10,8359.2,2673.0000000000014,2654.8589056578126,2646.9638077711065,2672.999999999996,2654.854976702577,2673.0000000000023,2654.8511585294127,2644.312144550146,2640.754855800515,2612.748802130581,155.83333333333363,-690079.4488489965
4,10,10,8366.4,2673.0000000000014,2654.8978178145453,2647.028880557344,2672.999999999996,2654.893803013924,2673.0000000000023,2654.8898827500307,2644.382198920744,2640.8311146673586,2612.8671362153373,155.83333333333354,-688607.0249003663
4,10,10,8373.6,2673.0000000000014,2654.936697940158,2647.0937887790724,2672.999999999996,2654.932692805299,2673.0000000000023,2654.928825682578,2644.4520805224456,2640.9071956386147,2612.9852487798244,155.83333333333363,-687126.2847950038
4,10,10,8380.800000000001,2673.0000000000014,2654.9755885738346,2647.158533432364,2672.999999999996,2654.9715561899884,2673.0000000000023,2654.967738090968,2644.5217914497052,2640.9830980589572,2613.1031375962557,155.83333333333357,-685646.7053201287
4,10,10,8388,2673.0000000000014,2655.0141888545513,2647.2231150411462,2672.999999999996,2655.0101789220826,2673.0000000000023,2655.0064234147303,2644.591331552432,2641.0588207972505,2613.2208043770997,155.83333333333363,-684175.7603597948
4,10,10,8395.2,2673.0000000000014,2655.0523584244024,2647.28753402068,2672.999999999996,2655.048417832918,2673.0000000000023,2655.044677930537,2644.6607012072236,2641.1343625300347,2613.3382496463137,155.8333333333335,-682721.1961537853
4,10,10,8402.4,2673.0000000000014,2655.0904147478473,2647.351789810101,2672.999999999996,2655.086523778801,2673.0000000000023,2655.0827376579323,2644.7299006292956,2641.209725270221,2613.4554739760847,155.83333333333366,-681274.0384525483
4,10,10,8409.6,2673.0000000000014,2655.1285153457284,2647.4158834335562,2672.999999999996,2655.1246172386523,2673.0000000000023,2655.120778274688,2644.7989300233994,2641.284912085101,2613.5724772562344,155.83333333333366,-679827.6074011695
