% Model,tin_tegs_model_2_HF.mph
% Version,COMSOL 6.1.0.357
% Date,"Jun 1 2024, 12:17"
% Table,Table 2 - Surface Average 1
% Time (s),Temperature (K),Temperature (K),Temperature (K)
432,1045.619863326742,1021.1331619493899,1056.6588939678686
433,1045.5588744091629,1021.0565130570754,1056.6019012532588
434,1045.497885491583,1020.9798641647599,1056.5449085386488
435,1045.4368965740045,1020.903215272445,1056.4879158240394
436,1045.3759076564245,1020.8265663801305,1056.4309231094276
437,1045.3149187388456,1020.749917487815,1056.3739303948178
438,1045.2539298212664,1020.6732685955002,1056.3169376802073
439,1045.192940903687,1020.5966197031853,1056.2599449655986
440,1045.1319519861074,1020.5199708108704,1056.2029522509865
441,1045.0709630685285,1020.4433219185547,1056.145959536377
442,1045.0099741509491,1020.3666730262395,1056.088966821766
443,1044.94898523337,1020.2900241339253,1056.0319741071562
444,1044.8879963157913,1020.2133752416098,1055.974981392546
445,1044.8270073982114,1020.1367263492947,1055.917988677936
446,1044.766018480632,1020.0600774569795,1055.860995963325
447,1044.7050295630531,1019.9834285646645,1055.8040032487145
448,1044.6440406454738,1019.9067796723494,1055.7470105341047
449,1044.5830517278946,1019.8301307800351,1055.6900178194935
450,1044.5220628103152,1019.7534818877194,1055.6330251048846
451,1044.4610738927363,1019.6768329954035,1055.576032390274
452,1044.4000849751565,1019.6001841030901,1055.5190396756639
453,1044.339096057577,1019.5235352107749,1055.4620469610525
454,1044.2781071399988,1019.4468863184594,1055.405054246443
455,1044.2171182224197,1019.3702374261445,1055.3480615318324
456,1044.1561293048399,1019.293588533829,1055.2910688172224
457,1044.0951403872607,1019.2169396415142,1055.2340761026119
458,1044.0341514696815,1019.1402907492001,1055.1770833880018
459,1043.973162552102,1019.0636418568843,1055.120090673391
460,1043.912173634523,1018.9869929645697,1055.0630979587806
461,1043.8511847169434,1018.9103440722536,1055.0061052441708
462,1043.7901957993647,1018.8336951799389,1054.9491125295604
463,1043.728812995593,1018.7569667504431,1054.892043859996
464,1043.6658546470508,1018.6799201722266,1054.834671370614
465,1043.6028962985083,1018.6028735940091,1054.777298881231
466,1043.5399379499665,1018.5258270157912,1054.7199263918474
467,1043.4769796014255,1018.4487804375733,1054.6625539024647
