hours,max_ff,time,inlet_T,outlet_T,block_1,Sn_block_1,bottom_right_T,mass_flow,SOC,power
5,2,49680.0,2673,2672.9083268105733,2672.9540244860673,2672.9833664545017,2672.761446637959,0.4895396221031694,1.0093829844217848,11.129659310220346
5,2,49860.0,2673,2672.911936117622,2672.955865610276,2672.984056056532,2672.770501583229,0.4895396221031697,1.0093866987964797,10.691468405642423
5,2,50040.0,2673,2672.915406397336,2672.957634407221,2672.984717656603,2672.779221353862,0.4895396221031708,1.009390266867256,10.270156229555722
5,2,50220.0,2673,2672.9187428885343,2672.9593336645034,2672.9853523752968,2672.7876179996365,0.4895396221031707,1.0093936942720174,9.865086758745214
5,2,50400.0,2673,2672.9219506536388,2672.960966064328,2672.985961287201,2672.795703153025,0.4895396221031706,1.0093969864357863,9.475645385724084
5,2,50580.0,2673,2672.925034535573,2672.9625341880605,2672.9865454266524,2672.803488042583,0.4895396221031706,1.0094001485788846,9.101244151330146
5,2,50760.0,2673,2672.927999213484,2672.964040519399,2672.987105785578,2672.810983506186,0.4895396221031702,1.009403185724856,8.741314979914593
5,2,50940.0,2673,2672.9308491771812,2672.965487448545,2672.987643318742,2672.818200003719,0.4895396221031701,1.009406102707761,8.395312782362618
5,2,51120.0,2673,2672.9335887815178,2672.9668772748714,2672.9881589410584,2672.825147630176,0.4895396221031702,1.0094089041788807,8.062708854203818
5,2,51300.0,2673,2672.936222211169,2672.968212210727,2672.988653532368,2672.8318361277434,0.4895396221031698,1.0094115946130215,7.74299515143711
5,2,51480.0,2673,2672.938753496761,2672.9694943846616,2672.989127938697,2672.83827489768,0.4895396221031694,1.0094141783152153,7.4356823325995665
5,2,51660.0,2673,2672.9411865064317,2672.9707258446524,2672.989582973729,2672.844473011665,0.4895396221031696,1.0094166594272616,7.140300783168987
5,2,51840.0,2673,2672.9435249873072,2672.9719085604524,2672.990019415315,2672.85043922302,0.4895396221031704,1.009419041933586,6.856395580229057
5,2,52020.0,2673,2672.945772527892,2672.97304442712,2672.990438011933,2672.856181977181,0.4895396221031702,1.0094213296670185,6.583531058417431
5,2,52200.0,2673,2672.947932587253,2672.9741352675237,2672.990839482237,2672.861709422218,0.4895396221031698,1.0094235263147469,6.321287266889638
5,2,52380.0,2673,2672.9500084969204,2672.9751828351564,2672.9912245176,2672.8670294186736,0.4895396221031693,1.0094256354236277,6.06925973843509
5,2,52560.0,2673,2672.952003480221,2672.9761888163944,2672.991593780241,2672.872149549436,0.4895396221031697,1.0094276604050567,5.827057142433032
5,2,52740.0,2673,2672.953920618368,2672.9771548336143,2672.991947909467,2672.8770771290074,0.4895396221031701,1.009429604540143,5.5943054015651565
5,2,52920.0,2673,2672.9557628932616,2672.9780824470718,2672.9922875169723,2672.8818192126937,0.4895396221031699,1.0094314709846977,5.370642495877886
5,2,53100.0,2673,2672.9575331670435,2672.978973157359,2672.992613190345,2672.886382605254,0.4895396221031695,1.0094332627737612,5.155720944646767
5,2,53280.0,2673,2672.9592342000005,2672.979828407324,2672.992925491269,2672.8907738695652,0.4895396221031695,1.0094349828261828,4.949205632964638
5,2,53460.0,2673,2672.960868638276,2672.98064958475,2672.9932249613003,2672.8949993347965,0.48953962210316904,1.0094366339490854,4.750775303598604
5,2,53640.0,2673,2672.962439043577,2672.9814380240155,2672.9935121198764,2672.899065104668,0.4895396221031698,1.009438218841968,4.5601189504635995
5,2,53820.0,2673,2672.9639478696004,2672.9821950085266,2672.9937874675547,2672.902977065143,0.4895396221031698,1.0094397401006832,4.376938680379697
5,2,54000.0,2673,2672.965397490901,2672.9829217722563,2672.9940514844643,2672.906740891915,0.4895396221031697,1.009441200221305,4.200946208571877
